Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
110908,STAFFORD 13 1,Coast,1,1,Closed,20.5000,3.09,20.73,20.50,3.09,Closed,0.00,0.00
150178,BURLESON 2 1,North Central,1,1,Closed,20.4000,2.79,20.59,20.40,2.79,Closed,0.00,0.00
170445,GAINESVILLE 2 1,North,1,1,Closed,20.4000,6.90,21.54,20.40,6.90,Closed,0.00,0.00
140136,AUSTIN 39 2,South Central,1,1,Closed,20.4000,6.00,21.26,20.40,6.00,Closed,0.00,0.00
110771,HOUSTON 24 1,Coast,1,2,Closed,20.4000,14.30,24.91,20.40,14.30,Closed,0.00,0.00
120273,LACKLAND A F B 8 1,South Central,1,1,Closed,20.4000,5.50,21.13,20.40,5.50,Closed,0.00,0.00
150231,HALTOM CITY 6 1,North Central,1,1,Closed,20.3000,6.10,21.20,20.30,6.10,Closed,0.00,0.00
260164,FLOWER MOUND 4 1,North Central,1,1,Closed,20.3000,4.80,20.86,20.30,4.80,Closed,0.00,0.00
130340,KAUFMAN 5 1,North Central,1,1,Closed,20.3000,2.18,20.42,20.30,2.18,Closed,0.00,0.00
111047,CYPRESS 52 1,Coast,1,1,Closed,20.3000,3.98,20.69,20.30,3.98,Closed,0.00,0.00
240022,LAUGHLIN A F B 1 1,South,1,1,Closed,20.3000,1.73,20.37,20.30,1.73,Closed,0.00,0.00
140134,AUSTIN 38 1,South Central,1,1,Closed,20.3000,1.28,20.34,20.30,1.28,Closed,0.00,0.00
180105,ROMA 6 1,South,1,1,Closed,20.3000,6.50,21.32,20.30,6.50,Closed,0.00,0.00
170436,DENTON 4 1,North Central,1,1,Closed,20.3000,5.60,21.06,20.30,5.60,Closed,0.00,0.00
110936,ROSENBERG 3 1,Coast,1,1,Closed,20.3000,5.70,21.09,20.30,5.70,Closed,0.00,0.00
170182,WYLIE 3 1,North Central,1,1,Closed,20.3000,6.90,21.44,20.30,6.90,Closed,0.00,0.00
110850,SPRING 15 1,Coast,1,1,Closed,20.3000,4.07,20.70,20.30,4.07,Closed,0.00,0.00
150338,FORT WORTH 22 2,North Central,1,2,Closed,20.3000,6.80,21.41,20.30,6.80,Closed,0.00,0.00
111086,LA MARQUE 1 1,Coast,1,1,Closed,20.3000,5.70,21.09,20.30,5.70,Closed,0.00,0.00
110345,MANVEL 1 1,Coast,1,1,Closed,20.3000,4.16,20.72,20.30,4.16,Closed,0.00,0.00
260124,DUNCANVILLE 16 1,North Central,1,1,Closed,20.3000,3.80,20.65,20.30,3.80,Closed,0.00,0.00
260083,ARLINGTON 11 1,North Central,1,1,Closed,20.3000,5.50,21.03,20.30,5.50,Closed,0.00,0.00
110841,TOMBALL 22 2,Coast,1,1,Closed,20.2000,3.09,20.43,20.20,3.09,Closed,0.00,0.00
170508,TERRELL 7 1,North Central,1,1,Closed,20.2000,1.35,20.25,20.20,1.35,Closed,0.00,0.00
110439,KEMAH 1 2,Coast,1,1,Closed,20.2000,5.70,20.99,20.20,5.70,Closed,0.00,0.00
120149,BOERNE 5 2,South Central,1,1,Closed,20.2000,6.00,21.07,20.20,6.00,Closed,0.00,0.00
140107,CEDAR PARK 2 1,South Central,1,1,Closed,20.1000,3.69,20.44,20.10,3.69,Closed,0.00,0.00
230243,MEXIA 2 2,North Central,1,1,Closed,20.1000,6.10,21.01,20.10,6.10,Closed,0.00,0.00
130116,IRVING 1 1,North Central,1,2,Closed,20.1000,2.03,20.20,20.10,2.03,Closed,0.00,0.00
140208,AUSTIN 51 1,South Central,1,1,Closed,20.0000,7.30,21.29,20.00,7.30,Closed,0.00,0.00
210260,BELTON 3 1,North Central,1,1,Closed,20.0000,6.80,21.12,20.00,6.80,Closed,0.00,0.00
120334,SAN ANTONIO 34 1,South Central,1,1,Closed,20.0000,5.70,20.80,20.00,5.70,Closed,0.00,0.00
110907,BELLAIRE 22 1,Coast,1,1,Closed,20.0000,6.50,21.03,20.00,6.50,Closed,0.00,0.00
130085,HUTCHINS 1 1,North Central,1,1,Closed,20.0000,2.56,20.16,20.00,2.56,Closed,0.00,0.00
110770,HOUSTON 23 1,Coast,1,1,Closed,19.9000,2.49,20.06,19.90,2.49,Closed,0.00,0.00
110809,RICHMOND 4 1,Coast,1,1,Closed,19.9000,6.30,20.87,19.90,6.30,Closed,0.00,0.00
150314,NAVAL AIR STATION_ JRB 14 1,North Central,1,1,Closed,19.9000,6.50,20.93,19.90,6.50,Closed,0.00,0.00
120231,SAN ANTONIO 3 1,South Central,1,1,Closed,19.9000,6.00,20.78,19.90,6.00,Closed,0.00,0.00
170451,GAINESVILLE 4 2,North,1,1,Closed,19.8000,3.46,20.10,19.80,3.46,Closed,0.00,0.00
140075,AUSTIN 13 2,South Central,1,1,Closed,19.8000,4.25,20.25,19.80,4.25,Closed,0.00,0.00
110466,PEARLAND 2 2,Coast,1,1,Closed,19.8000,4.25,20.25,19.80,4.25,Closed,0.00,0.00
200120,MCALLEN 5 1,South,1,1,Closed,19.8000,4.33,20.27,19.80,4.33,Closed,0.00,0.00
260075,ARLINGTON 7 1,North Central,1,1,Closed,19.8000,0.90,19.82,19.80,0.90,Closed,0.00,0.00
150248,JUSTIN 2 2,North Central,1,1,Closed,19.8000,1.80,19.88,19.80,1.80,Closed,0.00,0.00
140077,AUSTIN 15 1,South Central,1,1,Closed,19.8000,5.70,20.60,19.80,5.70,Closed,0.00,0.00
180017,LAREDO 12 1,South,1,1,Closed,19.7000,5.90,20.56,19.70,5.90,Closed,0.00,0.00
170149,ROYSE CITY 2 2,North Central,1,1,Closed,19.7000,2.79,19.90,19.70,2.79,Closed,0.00,0.00
110437,WEBSTER 3 1,Coast,1,1,Closed,19.7000,6.70,20.81,19.70,6.70,Closed,0.00,0.00
150163,CLEBURNE 3 1,North Central,1,1,Closed,19.7000,3.80,20.06,19.70,3.80,Closed,0.00,0.00
110991,SPRING 22 1,Coast,1,1,Closed,19.6000,7.00,20.81,19.60,7.00,Closed,0.00,0.00
110454,LEAGUE CITY 3 1,Coast,1,1,Closed,19.6000,3.39,19.89,19.60,3.39,Closed,0.00,0.00
110376,MAGNOLIA 5 2,Coast,1,1,Closed,19.5000,6.00,20.40,19.50,6.00,Closed,0.00,0.00
170511,TERRELL 8 1,North Central,1,2,Closed,19.5000,11.30,22.54,19.50,11.30,Closed,0.00,0.00
210280,BELTON 6 1,North Central,1,1,Closed,19.5000,3.31,19.78,19.50,3.31,Closed,0.00,0.00
190095,AMARILLO 18 1,North,1,1,Closed,19.5000,4.16,19.94,19.50,4.16,Closed,0.00,0.00
110486,FREEPORT 1 1,Coast,1,1,Closed,19.5000,1.13,19.53,19.50,1.13,Closed,0.00,0.00
210268,BELTON 5 2,North Central,1,1,Closed,19.5000,1.43,19.55,19.50,1.43,Closed,0.00,0.00
130292,DALLAS 40 1,North Central,1,1,Closed,19.5000,4.50,20.01,19.50,4.50,Closed,0.00,0.00
240159,DYESS AFB 4 1,West,1,1,Closed,19.5000,6.10,20.43,19.50,6.10,Closed,0.00,0.00
110536,DEER PARK 3 1,Coast,1,1,Closed,19.5000,2.86,19.71,19.50,2.86,Closed,0.00,0.00
150159,JOSHUA 1 1,North Central,1,1,Closed,19.5000,4.70,20.06,19.50,4.70,Closed,0.00,0.00
140216,MANCHACA 8 1,South Central,1,1,Closed,19.5000,5.20,20.18,19.50,5.20,Closed,0.00,0.00
250199,TYLER 3 1,East,1,1,Closed,19.5000,1.28,19.54,19.50,1.28,Closed,0.00,0.00
260054,GRAND PRAIRIE 16 1,North Central,1,1,Closed,19.5000,6.70,20.62,19.50,6.70,Closed,0.00,0.00
130288,DALLAS 38 1,North Central,1,1,Closed,19.4000,6.30,20.40,19.40,6.30,Closed,0.00,0.00
110455,KEMAH 3 1,Coast,1,1,Closed,19.4000,6.50,20.46,19.40,6.50,Closed,0.00,0.00
170244,PLANO 6 1,North Central,1,1,Closed,19.4000,2.94,19.62,19.40,2.94,Closed,0.00,0.00
110512,TOMBALL 13 1,Coast,1,1,Closed,19.4000,4.16,19.84,19.40,4.16,Closed,0.00,0.00
150276,HASLET 2 1,North Central,1,1,Closed,19.4000,2.11,19.51,19.40,2.11,Closed,0.00,0.00
150162,KEENE 1 2,North Central,1,1,Closed,19.4000,6.20,20.37,19.40,6.20,Closed,0.00,0.00
110324,BELLAIRE 10 1,Coast,1,1,Closed,19.4000,5.60,20.19,19.40,5.60,Closed,0.00,0.00
120175,PEARSALL 5 1,South,1,1,Closed,19.3000,5.40,20.04,19.30,5.40,Closed,0.00,0.00
170146,LITTLE ELM 1 2,North Central,1,1,Closed,19.3000,3.39,19.60,19.30,3.39,Closed,0.00,0.00
130084,MESQUITE 4 1,North Central,1,1,Closed,19.3000,5.60,20.10,19.30,5.60,Closed,0.00,0.00
110468,SOUTH HOUSTON 1 1,Coast,1,1,Closed,19.3000,1.95,19.40,19.30,1.95,Closed,0.00,0.00
170280,GARLAND 9 1,North Central,1,1,Closed,19.3000,3.89,19.69,19.30,3.89,Closed,0.00,0.00
110760,HUMBLE 10 1,Coast,1,1,Closed,19.3000,4.42,19.80,19.30,4.42,Closed,0.00,0.00
220098,MIDLAND 12 1,Far West,1,1,Closed,19.3000,4.16,19.74,19.30,4.16,Closed,0.00,0.00
200087,EDINBURG 7 1,South,1,1,Closed,19.3000,6.90,20.50,19.30,6.90,Closed,0.00,0.00
111079,SANTA FE 3 2,Coast,1,1,Closed,19.3000,3.39,19.60,19.30,3.39,Closed,0.00,0.00
150379,GRANBURY 2 1,North Central,1,1,Closed,19.3000,6.40,20.33,19.30,6.40,Closed,0.00,0.00
170507,TERRELL 6 1,North Central,1,2,Closed,19.2000,10.30,21.79,19.20,10.30,Closed,0.00,0.00
210284,LAMPASAS 5 1,West,1,1,Closed,19.2000,6.00,20.12,19.20,6.00,Closed,0.00,0.00
250220,TYLER 10 1,East,1,1,Closed,19.2000,2.18,19.32,19.20,2.18,Closed,0.00,0.00
110296,SPLENDORA 1 2,Coast,1,1,Closed,19.2000,3.31,19.48,19.20,3.31,Closed,0.00,0.00
190040,POST 1 1,Far West,1,1,Closed,19.2000,1.80,19.28,19.20,1.80,Closed,0.00,0.00
150216,FORT WORTH 14 1,North Central,1,1,Closed,19.2000,1.65,19.27,19.20,1.65,Closed,0.00,0.00
240175,GOODFELLOW AFB 6 1,West,1,1,Closed,19.2000,2.18,19.32,19.20,2.18,Closed,0.00,0.00
110810,RICHMOND 5 1,Coast,1,1,Closed,19.2000,0.68,19.21,19.20,0.68,Closed,0.00,0.00
160155,PORT ARANSAS 2 1,South,1,1,Closed,19.2000,6.20,20.18,19.20,6.20,Closed,0.00,0.00
250308,NACOGDOCHES 7 1,East,1,1,Closed,19.2000,5.80,20.06,19.20,5.80,Closed,0.00,0.00
110874,CROSBY 5 2,Coast,1,1,Closed,19.2000,6.20,20.18,19.20,6.20,Closed,0.00,0.00
230225,COLLEGE STATION 5 1,East,1,1,Closed,19.2000,5.90,20.09,19.20,5.90,Closed,0.00,0.00
150366,WHITNEY 3 1,North Central,1,1,Closed,19.1000,1.65,19.17,19.10,1.65,Closed,0.00,0.00
230085,HUNTSVILLE 1 1,East,1,1,Closed,19.1000,6.80,20.27,19.10,6.80,Closed,0.00,0.00
170134,MCKINNEY 12 1,North Central,1,1,Closed,19.1000,3.54,19.43,19.10,3.54,Closed,0.00,0.00
170493,GREENVILLE 4 1,North Central,1,1,Closed,19.1000,5.70,19.93,19.10,5.70,Closed,0.00,0.00
120379,SAN ANTONIO 46 1,South Central,1,1,Closed,19.1000,5.70,19.93,19.10,5.70,Closed,0.00,0.00
250230,WHITEHOUSE 2 1,East,1,1,Closed,19.1000,4.80,19.69,19.10,4.80,Closed,0.00,0.00
250224,TYLER 13 2,East,1,1,Closed,19.1000,3.89,19.49,19.10,3.89,Closed,0.00,0.00
200141,COMBES 2 1,South,1,1,Closed,19.0000,5.10,19.67,19.00,5.10,Closed,0.00,0.00
190059,CHILDRESS 2 2,North,1,1,Closed,19.0000,5.60,19.81,19.00,5.60,Closed,0.00,0.00
170117,PROSPER 2 1,North Central,1,1,Closed,19.0000,3.09,19.25,19.00,3.09,Closed,0.00,0.00
110839,SPRING 10 1,Coast,1,1,Closed,19.0000,3.39,19.30,19.00,3.39,Closed,0.00,0.00
110450,LEAGUE CITY 1 2,Coast,1,1,Closed,19.0000,5.30,19.73,19.00,5.30,Closed,0.00,0.00
150313,NAVAL AIR STATION_ JRB 13 1,North Central,1,1,Closed,19.0000,2.34,19.14,19.00,2.34,Closed,0.00,0.00
130318,WAXAHACHIE 3 1,North Central,1,1,Closed,19.0000,6.90,20.21,19.00,6.90,Closed,0.00,0.00
250264,CLARKSVILLE 4 1,North,1,1,Closed,19.0000,4.90,19.62,19.00,4.90,Closed,0.00,0.00
170109,MCKINNEY 1 1,North Central,1,1,Closed,19.0000,4.16,19.45,19.00,4.16,Closed,0.00,0.00
110532,DEER PARK 1 1,Coast,1,1,Closed,18.9000,5.20,19.60,18.90,5.20,Closed,0.00,0.00
190079,AMARILLO 8 1,North,1,1,Closed,18.9000,5.10,19.58,18.90,5.10,Closed,0.00,0.00
270088,CUERO 6 1,South Central,1,1,Closed,18.9000,4.25,19.37,18.90,4.25,Closed,0.00,0.00
170112,PLANO 1 1,North Central,1,1,Closed,18.9000,5.30,19.63,18.90,5.30,Closed,0.00,0.00
110374,MAGNOLIA 4 1,Coast,1,1,Closed,18.9000,3.24,19.18,18.90,3.24,Closed,0.00,0.00
220079,ODESSA 4 1,Far West,1,1,Closed,18.9000,6.00,19.83,18.90,6.00,Closed,0.00,0.00
150241,NORTH RICHLAND HILLS 10 1,North Central,1,1,Closed,18.8000,3.01,19.04,18.80,3.01,Closed,0.00,0.00
120290,BULVERDE 1 2,South Central,1,1,Closed,18.8000,5.00,19.45,18.80,5.00,Closed,0.00,0.00
190037,RALLS 1 1,North,1,1,Closed,18.8000,5.30,19.53,18.80,5.30,Closed,0.00,0.00
110515,SPRING 2 1,Coast,1,1,Closed,18.8000,3.80,19.18,18.80,3.80,Closed,0.00,0.00
110835,HOUSTON 42 1,Coast,1,1,Closed,18.8000,0.45,18.81,18.80,0.45,Closed,0.00,0.00
110490,LAKE JACKSON 2 1,Coast,1,1,Closed,18.8000,6.10,19.76,18.80,6.10,Closed,0.00,0.00
270187,MC QUEENEY 5 1,South Central,1,1,Closed,18.8000,0.90,18.82,18.80,0.90,Closed,0.00,0.00
120421,CIBOLO 2 1,South Central,1,1,Closed,18.8000,5.00,19.45,18.80,5.00,Closed,0.00,0.00
110833,BELLAIRE 20 1,Coast,1,1,Closed,18.8000,5.20,19.51,18.80,5.20,Closed,0.00,0.00
120426,UNIVERSAL CITY 16 1,South Central,1,1,Closed,18.8000,3.16,19.06,18.80,3.16,Closed,0.00,0.00
140081,AUSTIN 18 1,South Central,1,1,Closed,18.8000,3.98,19.22,18.80,3.98,Closed,0.00,0.00
160172,VICTORIA 6 1,Coast,1,1,Closed,18.8000,5.50,19.59,18.80,5.50,Closed,0.00,0.00
210218,MC GREGOR 2 2,North Central,1,1,Closed,18.8000,3.89,19.20,18.80,3.89,Closed,0.00,0.00
140239,CEDAR PARK 14 1,South Central,1,1,Closed,18.8000,4.50,19.33,18.80,4.50,Closed,0.00,0.00
110787,GALENA PARK 11 1,Coast,1,1,Closed,18.8000,4.90,19.43,18.80,4.90,Closed,0.00,0.00
110356,CONROE 3 1,Coast,1,1,Closed,18.8000,0.83,18.82,18.80,0.83,Closed,0.00,0.00
250316,MABANK 3 1,North Central,1,1,Closed,18.8000,4.70,19.38,18.80,4.70,Closed,0.00,0.00
120367,BULVERDE 13 1,South Central,1,1,Closed,18.8000,4.07,19.24,18.80,4.07,Closed,0.00,0.00
140279,GEORGETOWN 4 1,South Central,1,1,Closed,18.8000,4.80,19.40,18.80,4.80,Closed,0.00,0.00
200105,BROWNSVILLE 8 1,South,1,1,Closed,18.8000,3.54,19.13,18.80,3.54,Closed,0.00,0.00
130157,ADDISON 6 1,North Central,1,1,Closed,18.8000,6.30,19.83,18.80,6.30,Closed,0.00,0.00
150264,HASLET 1 2,North Central,1,1,Closed,18.7000,6.30,19.73,18.70,6.30,Closed,0.00,0.00
110865,HIGHLANDS 3 1,Coast,1,1,Closed,18.7000,4.42,19.22,18.70,4.42,Closed,0.00,0.00
140128,AUSTIN 34 1,South Central,1,1,Closed,18.7000,4.80,19.31,18.70,4.80,Closed,0.00,0.00
260028,KENNEDALE 13 1,North Central,1,1,Closed,18.7000,6.50,19.80,18.70,6.50,Closed,0.00,0.00
110594,CYPRESS 34 1,Coast,1,1,Closed,18.7000,5.90,19.61,18.70,5.90,Closed,0.00,0.00
230070,LA GRANGE 4 1,South Central,1,1,Closed,18.6000,5.20,19.31,18.60,5.20,Closed,0.00,0.00
130156,CARROLLTON 5 1,North Central,1,1,Closed,18.6000,6.40,19.67,18.60,6.40,Closed,0.00,0.00
110476,PEARLAND 8 1,Coast,1,1,Closed,18.6000,5.20,19.31,18.60,5.20,Closed,0.00,0.00
110379,TOMBALL 4 1,Coast,1,1,Closed,18.6000,6.10,19.57,18.60,6.10,Closed,0.00,0.00
210314,MARLIN 2 1,North Central,1,1,Closed,18.6000,6.30,19.64,18.60,6.30,Closed,0.00,0.00
170134,MCKINNEY 12 1,North Central,1,2,Closed,18.6000,4.60,19.16,18.60,4.60,Closed,0.00,0.00
170159,LAVON 3 1,North Central,1,1,Closed,18.6000,5.30,19.34,18.60,5.30,Closed,0.00,0.00
250331,LUFKIN 8 1,East,1,1,Closed,18.6000,5.30,19.34,18.60,5.30,Closed,0.00,0.00
110481,FRIENDSWOOD 8 2,Coast,1,1,Closed,18.5000,6.30,19.54,18.50,6.30,Closed,0.00,0.00
130311,CORSICANA 4 2,North Central,1,1,Closed,18.5000,5.10,19.19,18.50,5.10,Closed,0.00,0.00
130078,SUNNYVALE 2 1,North Central,1,1,Closed,18.5000,5.50,19.30,18.50,5.50,Closed,0.00,0.00
170214,FRISCO 4 1,North Central,1,1,Closed,18.5000,4.07,18.94,18.50,4.07,Closed,0.00,0.00
240126,HAWLEY 1 1,West,1,1,Closed,18.5000,5.20,19.22,18.50,5.20,Closed,0.00,0.00
140103,CEDAR PARK 1 1,South Central,1,1,Closed,18.4000,6.40,19.48,18.40,6.40,Closed,0.00,0.00
140171,DRIPPING SPRINGS 3 2,South Central,1,1,Closed,18.3000,3.46,18.62,18.30,3.46,Closed,0.00,0.00
270158,SAN MARCOS 4 1,South Central,1,1,Closed,18.3000,4.25,18.79,18.30,4.25,Closed,0.00,0.00
110946,RICHMOND 16 1,Coast,1,1,Closed,18.3000,3.69,18.67,18.30,3.69,Closed,0.00,0.00
110142,BROOKSHIRE 3 1,Coast,1,2,Closed,18.3000,15.60,24.05,18.30,15.60,Closed,0.00,0.00
170311,PRINCETON 2 1,North Central,1,1,Closed,18.3000,2.49,18.47,18.30,2.49,Closed,0.00,0.00
130331,RED OAK 10 1,North Central,1,1,Closed,18.3000,2.26,18.44,18.30,2.26,Closed,0.00,0.00
150186,JOSHUA 3 1,North Central,1,2,Closed,18.3000,10.50,21.10,18.30,10.50,Closed,0.00,0.00
260172,HURST 5 1,North Central,1,1,Closed,18.3000,6.50,19.42,18.30,6.50,Closed,0.00,0.00
110350,FRIENDSWOOD 1 1,Coast,1,1,Closed,18.3000,3.54,18.64,18.30,3.54,Closed,0.00,0.00
180044,CRYSTAL CITY 1 1,South,1,1,Closed,18.3000,4.07,18.75,18.30,4.07,Closed,0.00,0.00
200017,SAN BENITO 1 1,South,1,1,Closed,18.3000,3.54,18.64,18.30,3.54,Closed,0.00,0.00
230073,HEMPSTEAD 4 2,Coast,1,1,Closed,18.2000,5.70,19.07,18.20,5.70,Closed,0.00,0.00
110567,BRAZORIA 4 2,Coast,1,1,Closed,18.2000,2.71,18.40,18.20,2.71,Closed,0.00,0.00
110540,SEABROOK 4 1,Coast,1,1,Closed,18.2000,6.50,19.33,18.20,6.50,Closed,0.00,0.00
210125,WOODWAY 1 1,North Central,1,1,Closed,18.2000,4.33,18.71,18.20,4.33,Closed,0.00,0.00
150233,NORTH RICHLAND HILLS 6 1,North Central,1,1,Closed,18.2000,2.56,18.38,18.20,2.56,Closed,0.00,0.00
120373,SAN ANTONIO 42 1,South Central,1,1,Closed,18.2000,5.80,19.10,18.20,5.80,Closed,0.00,0.00
150242,HALTOM CITY 8 1,North Central,1,1,Closed,18.2000,2.03,18.31,18.20,2.03,Closed,0.00,0.00
110844,SPRING 12 1,Coast,1,1,Closed,18.2000,6.00,19.16,18.20,6.00,Closed,0.00,0.00
130285,DALLAS 36 1,North Central,1,1,Closed,18.2000,3.31,18.50,18.20,3.31,Closed,0.00,0.00
200082,LA BLANCA 1 1,South,1,1,Closed,18.2000,4.60,18.77,18.20,4.60,Closed,0.00,0.00
120360,BULVERDE 8 1,South Central,1,1,Closed,18.2000,5.50,19.01,18.20,5.50,Closed,0.00,0.00
120232,SAN ANTONIO 4 1,South Central,1,1,Closed,18.1000,1.65,18.18,18.10,1.65,Closed,0.00,0.00
200001,WESLACO 1 1,South,1,1,Closed,18.1000,6.50,19.23,18.10,6.50,Closed,0.00,0.00
230214,CAMERON 4 1,South Central,1,1,Closed,18.1000,4.07,18.55,18.10,4.07,Closed,0.00,0.00
130283,DALLAS 34 1,North Central,1,1,Closed,18.1000,3.01,18.35,18.10,3.01,Closed,0.00,0.00
170140,PILOT POINT 2 1,North Central,1,1,Closed,18.1000,4.16,18.57,18.10,4.16,Closed,0.00,0.00
150244,HALTOM CITY 10 1,North Central,1,1,Closed,18.1000,4.50,18.65,18.10,4.50,Closed,0.00,0.00
110456,KEMAH 4 1,Coast,1,1,Closed,18.1000,2.71,18.30,18.10,2.71,Closed,0.00,0.00
120306,LACKLAND A F B 10 1,South Central,1,1,Closed,18.1000,1.13,18.14,18.10,1.13,Closed,0.00,0.00
260100,COPPELL 8 1,North Central,1,2,Closed,18.1000,4.80,18.73,18.10,4.80,Closed,0.00,0.00
140144,CEDAR PARK 8 1,South Central,1,1,Closed,18.1000,5.50,18.92,18.10,5.50,Closed,0.00,0.00
170506,FORNEY 4 1,North Central,1,1,Closed,18.0000,3.76,18.39,18.00,3.76,Closed,0.00,0.00
220103,MIDLAND 16 1,Far West,1,1,Closed,18.0000,3.98,18.43,18.00,3.98,Closed,0.00,0.00
190077,AMARILLO 6 1,North,1,2,Closed,18.0000,1.73,18.08,18.00,1.73,Closed,0.00,0.00
260093,VENUS 1 2,North Central,1,1,Closed,18.0000,5.00,18.68,18.00,5.00,Closed,0.00,0.00
140085,AUSTIN 21 1,South Central,1,1,Closed,18.0000,1.13,18.04,18.00,1.13,Closed,0.00,0.00
120404,LACKLAND A F B 15 2,South Central,1,1,Closed,18.0000,2.64,18.19,18.00,2.64,Closed,0.00,0.00
130319,CORSICANA 5 1,North Central,1,1,Closed,18.0000,3.80,18.40,18.00,3.80,Closed,0.00,0.00
200100,BROWNSVILLE 3 1,South,1,1,Closed,18.0000,2.86,18.23,18.00,2.86,Closed,0.00,0.00
110924,WILLIS 3 1,Coast,1,1,Closed,18.0000,4.25,18.49,18.00,4.25,Closed,0.00,0.00
170192,ALLEN 5 1,North Central,1,1,Closed,18.0000,5.60,18.85,18.00,5.60,Closed,0.00,0.00
260069,MANSFIELD 2 1,North Central,1,1,Closed,18.0000,5.70,18.88,18.00,5.70,Closed,0.00,0.00
150361,WICHITA FALLS 9 1,North,1,1,Closed,18.0000,6.30,19.07,18.00,6.30,Closed,0.00,0.00
150279,KENNEDALE 5 1,North Central,1,1,Closed,18.0000,6.30,19.07,18.00,6.30,Closed,0.00,0.00
140154,AUSTIN 47 1,South Central,1,1,Closed,17.9000,4.60,18.48,17.90,4.60,Closed,0.00,0.00
130048,DALLAS 2 1,North Central,1,1,Closed,17.9000,3.98,18.34,17.90,3.98,Closed,0.00,0.00
170444,DENTON 8 1,North Central,1,1,Closed,17.9000,3.39,18.22,17.90,3.39,Closed,0.00,0.00
250201,HENDERSON 4 1,East,1,1,Closed,17.9000,6.30,18.98,17.90,6.30,Closed,0.00,0.00
190065,HART 1 1,North,1,1,Closed,17.9000,5.70,18.79,17.90,5.70,Closed,0.00,0.00
230208,CALDWELL 5 2,South Central,1,1,Closed,17.9000,1.95,18.01,17.90,1.95,Closed,0.00,0.00
230063,PRAIRIE VIEW 4 1,Coast,1,1,Closed,17.8000,6.40,18.92,17.80,6.40,Closed,0.00,0.00
140255,TAYLOR 1 1,South Central,1,1,Closed,17.8000,2.26,17.94,17.80,2.26,Closed,0.00,0.00
140141,ROUND ROCK 2 1,South Central,1,1,Closed,17.8000,3.80,18.20,17.80,3.80,Closed,0.00,0.00
110935,WILLIS 8 1,Coast,1,1,Closed,17.8000,5.00,18.49,17.80,5.00,Closed,0.00,0.00
130300,DALLAS 44 1,North Central,1,1,Closed,17.8000,5.70,18.69,17.80,5.70,Closed,0.00,0.00
170433,LAKE DALLAS 3 1,North Central,1,1,Closed,17.8000,6.30,18.88,17.80,6.30,Closed,0.00,0.00
110177,HUMBLE 7 2,Coast,1,2,Closed,17.8000,1.95,17.91,17.80,1.95,Closed,0.00,0.00
110842,CYPRESS 41 1,Coast,1,1,Closed,17.8000,4.25,18.30,17.80,4.25,Closed,0.00,0.00
120384,SAN ANTONIO 50 1,South Central,1,1,Closed,17.8000,1.65,17.88,17.80,1.65,Closed,0.00,0.00
120158,FREDERICKSBURG 9 1,West,1,1,Closed,17.8000,5.70,18.69,17.80,5.70,Closed,0.00,0.00
150210,FORT WORTH 10 1,North Central,1,1,Closed,17.8000,3.89,18.22,17.80,3.89,Closed,0.00,0.00
150365,WHITNEY 2 1,North Central,1,1,Closed,17.8000,6.10,18.82,17.80,6.10,Closed,0.00,0.00
150377,MINERAL WELLS 5 1,North Central,1,1,Closed,17.8000,3.80,18.20,17.80,3.80,Closed,0.00,0.00
200104,BROWNSVILLE 7 1,South,1,1,Closed,17.7000,2.56,17.88,17.70,2.56,Closed,0.00,0.00
190080,AMARILLO 9 1,North,1,1,Closed,17.7000,4.25,18.20,17.70,4.25,Closed,0.00,0.00
220072,CRANE 1 1,Far West,1,1,Closed,17.7000,4.80,18.34,17.70,4.80,Closed,0.00,0.00
250200,TYLER 4 1,East,1,2,Closed,17.7000,12.10,21.44,17.70,12.10,Closed,0.00,0.00
240104,HASKELL 1 1,North,1,1,Closed,17.6000,6.10,18.63,17.60,6.10,Closed,0.00,0.00
200116,BROWNSVILLE 13 1,South,1,1,Closed,17.6000,4.33,18.12,17.60,4.33,Closed,0.00,0.00
260037,GRAND PRAIRIE 9 1,North Central,1,2,Closed,17.6000,0.68,17.61,17.60,0.68,Closed,0.00,0.00
130120,GRAND PRAIRIE 3 1,North Central,1,1,Closed,17.6000,5.00,18.30,17.60,5.00,Closed,0.00,0.00
190023,PANHANDLE 3 1,North,1,1,Closed,17.6000,1.13,17.64,17.60,1.13,Closed,0.00,0.00
140133,AUSTIN 37 1,South Central,1,1,Closed,17.5000,4.07,17.97,17.50,4.07,Closed,0.00,0.00
130260,DESOTO 31 1,North Central,1,2,Closed,17.5000,2.03,17.62,17.50,2.03,Closed,0.00,0.00
120342,SAN ANTONIO 37 1,South Central,1,1,Closed,17.4000,5.10,18.13,17.40,5.10,Closed,0.00,0.00
260160,SOUTHLAKE 5 1,North Central,1,1,Closed,17.4000,4.50,17.97,17.40,4.50,Closed,0.00,0.00
110967,HOCKLEY 6 2,Coast,1,1,Closed,17.4000,1.50,17.46,17.40,1.50,Closed,0.00,0.00
110511,TOMBALL 12 1,Coast,1,1,Closed,17.4000,5.40,18.22,17.40,5.40,Closed,0.00,0.00
